dataset,model,n_replicates,ensemble_size,bias,variance,mean_error
breast_cancer,decision_tree,100,50,0.05263157894736842,0.06956140350877194,0.08307017543859649
breast_cancer,adaboost,100,50,0.043859649122807015,0.02412280701754386,0.04692982456140351
breast_cancer,random_forest,100,50,0.043859649122807015,0.018771929824561405,0.05333333333333334
