dataset,n_estimators,train_error,test_error
breast_cancer,1,0.07692307692307693,0.07894736842105263
breast_cancer,2,0.07692307692307693,0.07894736842105263
breast_cancer,3,0.03076923076923077,0.05263157894736842
breast_cancer,4,0.04395604395604396,0.06140350877192982
breast_cancer,5,0.035164835164835165,0.07017543859649122
breast_cancer,6,0.02857142857142857,0.05263157894736842
breast_cancer,7,0.03076923076923077,0.06140350877192982
breast_cancer,8,0.015384615384615385,0.043859649122807015
breast_cancer,9,0.024175824175824177,0.043859649122807015
breast_cancer,10,0.017582417582417582,0.03508771929824561
breast_cancer,11,0.01978021978021978,0.043859649122807015
breast_cancer,12,0.01098901098901099,0.03508771929824561
breast_cancer,13,0.008791208791208791,0.043859649122807015
breast_cancer,14,0.004395604395604396,0.043859649122807015
breast_cancer,15,0.006593406593406593,0.043859649122807015
breast_cancer,16,0.004395604395604396,0.06140350877192982
breast_cancer,17,0.006593406593406593,0.043859649122807015
breast_cancer,18,0.002197802197802198,0.06140350877192982
breast_cancer,19,0.0,0.06140350877192982
breast_cancer,20,0.004395604395604396,0.043859649122807015
breast_cancer,21,0.004395604395604396,0.043859649122807015
breast_cancer,22,0.002197802197802198,0.06140350877192982
breast_cancer,23,0.0,0.043859649122807015
breast_cancer,24,0.0,0.06140350877192982
breast_cancer,25,0.0,0.05263157894736842
breast_cancer,26,0.002197802197802198,0.043859649122807015
breast_cancer,27,0.0,0.043859649122807015
breast_cancer,28,0.0,0.05263157894736842
breast_cancer,29,0.0,0.043859649122807015
breast_cancer,30,0.0,0.05263157894736842
breast_cancer,31,0.0,0.043859649122807015
breast_cancer,32,0.0,0.043859649122807015
breast_cancer,33,0.0,0.043859649122807015
breast_cancer,34,0.0,0.043859649122807015
breast_cancer,35,0.0,0.043859649122807015
breast_cancer,36,0.0,0.043859649122807015
breast_cancer,37,0.0,0.043859649122807015
breast_cancer,38,0.0,0.043859649122807015
breast_cancer,39,0.0,0.043859649122807015
breast_cancer,40,0.0,0.043859649122807015
breast_cancer,41,0.0,0.043859649122807015
breast_cancer,42,0.0,0.043859649122807015
breast_cancer,43,0.0,0.043859649122807015
breast_cancer,44,0.0,0.043859649122807015
breast_cancer,45,0.0,0.043859649122807015
breast_cancer,46,0.0,0.043859649122807015
breast_cancer,47,0.0,0.043859649122807015
breast_cancer,48,0.0,0.043859649122807015
breast_cancer,49,0.0,0.043859649122807015
breast_cancer,50,0.0,0.043859649122807015
breast_cancer,51,0.0,0.043859649122807015
breast_cancer,52,0.0,0.043859649122807015
breast_cancer,53,0.0,0.043859649122807015
breast_cancer,54,0.0,0.043859649122807015
breast_cancer,55,0.0,0.043859649122807015
breast_cancer,56,0.0,0.043859649122807015
breast_cancer,57,0.0,0.043859649122807015
breast_cancer,58,0.0,0.043859649122807015
breast_cancer,59,0.0,0.043859649122807015
breast_cancer,60,0.0,0.043859649122807015
breast_cancer,61,0.0,0.043859649122807015
breast_cancer,62,0.0,0.043859649122807015
breast_cancer,63,0.0,0.043859649122807015
breast_cancer,64,0.0,0.043859649122807015
breast_cancer,65,0.0,0.043859649122807015
breast_cancer,66,0.0,0.043859649122807015
breast_cancer,67,0.0,0.043859649122807015
breast_cancer,68,0.0,0.043859649122807015
breast_cancer,69,0.0,0.043859649122807015
breast_cancer,70,0.0,0.043859649122807015
breast_cancer,71,0.0,0.043859649122807015
breast_cancer,72,0.0,0.043859649122807015
breast_cancer,73,0.0,0.043859649122807015
breast_cancer,74,0.0,0.043859649122807015
